"student_id","paper_id","paper_name","subject","scene","is_submitted","submit_time","total_questions","wrong_count","wrong_question_ids","correct_rate"
"42497411","4QJRWEfZYbcbSQwN","第2节（二）微生物的选择培养与计数","生物学","同步学在线练","未交卷","2026-04-29 11:33:43","5","0","3796035440123904","0.0"
"65002550","4QJRWEfW1UXGZqfv","第1节 细胞是生命活动的基本单位","生物学","同步学在线练","未交卷","2026-04-29 07:45:39","4","0","3780622930026496,3784213307203584","0.0"
"65523801","4QJRWEfX8zNJw6Pv","2. 光电效应","物理","同步学在线练","未交卷","2026-05-18 10:33:23","10","0","null","0.0"
"78117210","HChMkIl6NfBXY0JkO8QW","氧化还原反应","化学","升学备考-精准练题组在线练","未交卷","2026-04-23 16:16:52","5","0","null","0.0"
"87172479","4QJRWMr66Q1H1hlv","1.1 集合的概念","数学","同步学在线练","未交卷","2026-04-20 16:57:18","10","0","null","0.0"
"87172493","4QJRWEfW1UXGZqfw","第1节 细胞是生命活动的基本单位","生物学","同步学在线练","未交卷","2026-04-20 17:03:00","4","0","null","0.0"
"87172493","4QJRWEfZcQIv80V4","第1节 细胞生活的环境","生物学","同步学在线练","未交卷","2026-04-20 17:10:07","6","0","null","0.0"
"87172533","HChMkIgzL4HNYpriQGFb","构造函数比较大小","数学","升学备考-精准练题组在线练","未交卷","2026-04-17 21:04:50","5","0","null","0.0"
"87172533","HChMkIgzL4HNTpIE0RCV","利用函数性质比较大小","数学","升学备考-精准练题组在线练","已交卷","2026-04-17 21:09:24","5","2","3653865429000192,1747166781956096","0.6"
"87172533","HChMkIgzL4HNTpIE0RCV","利用函数性质比较大小","数学","升学备考-精准练题组在线练","未交卷","2026-04-17 21:10:11","5","0","3859738478002176","0.0"
"87211584","4QJRWEg0wdaiPol3","Topic Talk","英语","同步学在线练","未交卷","2026-04-27 20:38:31","5","0","null","0.0"
"87211721","HChMkIgzL4HNTpIE0RCV","利用函数性质比较大小","数学","升学备考-精准练题组在线练","未交卷","2026-04-20 16:58:22","5","0","null","0.0"
"87211721","HChMkIi5r8qg61pOeqIx","单项选择","英语","升学备考-精准练题组在线练","未交卷","2026-04-20 17:01:12","10","0","3776868696621056","0.0"
"87211881","4QJRWEfW1UXGZqfw","第1节 细胞是生命活动的基本单位","生物学","同步学在线练","未交卷","2026-04-21 10:06:24","4","0","null","0.0"
"87211889","4QJRWEfVYygoV1br","1. 质点　参考系","物理","同步学在线练","未交卷","2026-04-21 09:56:10","5","0","null","0.0"
"87266504","4QJRWMr6qRVQYnh7","地球在宇宙中的位置","地理","同步学在线练","未交卷","2026-05-23 14:46:25","9","0","null","0.0"
"87266693","4QJRWEfW1UXGZqfv","第1节 细胞是生命活动的基本单位","生物学","同步学在线练","已交卷","2026-05-01 23:56:44","4","1","3784213307203584","0.75"
"87266693","4QJRWEfW1UXGZqfv","知识点薄弱再练:细胞是基本的生命系统","null","同步学薄弱再练","已交卷","2026-05-01 23:59:44","3","3","3780662652936192,3690489743089664,3794416018956288","0.0"
"87266829","4QJRWMr66Q1H1hlw","1.1 集合的概念","数学","同步学在线练","未交卷","2026-05-09 15:35:15","10","0","3592240400318464","0.0"
"87309770","4QJRWEfVYygoV1br","1. 质点　参考系","物理","同步学在线练","已交卷","2026-05-09 17:22:46","5","2","3890664188731392,3672175378841600","0.6"
"87309977","4QJRWEgazoLY6kDf","1 春夏秋冬","语文","同步学在线练","未交卷","2026-05-05 18:27:40","5","0","null","0.0"
"87309977","4QJRWEgazpntqibL","2 姓氏歌","语文","同步学在线练","未交卷","2026-05-05 18:28:31","5","0","null","0.0"
"87309977","4QJRWEgazpYYKfKh","3 小青蛙","语文","同步学在线练","未交卷","2026-05-05 18:30:59","5","0","null","0.0"
"87309983","HChMkIo89n1AcIqjzdNo"," 生产资料所有制与经济体制","政治（道法）","升学备考-精准练题组在线练","未交卷","2026-05-03 23:20:03","5","0","null","0.0"
